REPORTE DE LIMPIEZA DE DATOS
========================================
Venta 1: sin registro de stock previo, se elimina.
Venta 1086: sin registro de stock previo, se elimina.
Venta 1088: sin registro de stock previo, se elimina.
Venta 1089: sin registro de stock previo, se elimina.
Venta 1091: sin registro de stock previo, se elimina.
Venta 1092: sin registro de stock previo, se elimina.
Venta 1093: stock insuficiente (0 < 4) en 2023-09-24.
Venta 1094: stock insuficiente (0 < 1) en 2023-09-25.
Venta 1095: stock insuficiente (0 < 3) en 2023-09-26.
Venta 1096: sin registro de stock previo, se elimina.
Venta 1097: sin registro de stock previo, se elimina.
Venta 1098: sin registro de stock previo, se elimina.
Venta 1099: sin registro de stock previo, se elimina.
Venta 1100: sin registro de stock previo, se elimina.
Venta 1101: sin registro de stock previo, se elimina.
Venta 1102: sin registro de stock previo, se elimina.
Venta 1103: sin registro de stock previo, se elimina.
Venta 1104: sin registro de stock previo, se elimina.
Venta 1105: sin registro de stock previo, se elimina.
Venta 1106: sin registro de stock previo, se elimina.
Venta 1107: sin registro de stock previo, se elimina.
Venta 1108: sin registro de stock previo, se elimina.
Venta 1109: sin registro de stock previo, se elimina.
Venta 1110: sin registro de stock previo, se elimina.
Venta 1111: sin registro de stock previo, se elimina.
Venta 1112: sin registro de stock previo, se elimina.
Venta 1113: stock insuficiente (0 < 1) en 2023-10-03.
Venta 1114: sin registro de stock previo, se elimina.
Venta 1115: sin registro de stock previo, se elimina.
Venta 1116: sin registro de stock previo, se elimina.
Venta 1117: sin registro de stock previo, se elimina.
Venta 1118: sin registro de stock previo, se elimina.
Venta 1119: sin registro de stock previo, se elimina.
Venta 1120: sin registro de stock previo, se elimina.
Venta 1121: stock insuficiente (0 < 2) en 2023-10-04.
Venta 1122: sin registro de stock previo, se elimina.
Venta 1123: sin registro de stock previo, se elimina.
Venta 1124: sin registro de stock previo, se elimina.
Venta 1125: sin registro de stock previo, se elimina.
Venta 1126: sin registro de stock previo, se elimina.
Venta 1127: stock insuficiente (0 < 2) en 2023-10-05.
Venta 1128: sin registro de stock previo, se elimina.
Venta 1129: sin registro de stock previo, se elimina.
Venta 1130: sin registro de stock previo, se elimina.
Venta 1131: sin registro de stock previo, se elimina.
Venta 1132: stock insuficiente (0 < 2) en 2023-10-06.
Venta 1133: sin registro de stock previo, se elimina.
Venta 1134: sin registro de stock previo, se elimina.
Venta 1135: sin registro de stock previo, se elimina.
Venta 1136: sin registro de stock previo, se elimina.
Venta 1137: stock insuficiente (0 < 1) en 2023-10-07.
Venta 1138: sin registro de stock previo, se elimina.
Venta 1139: sin registro de stock previo, se elimina.
Venta 1140: sin registro de stock previo, se elimina.
Venta 1141: sin registro de stock previo, se elimina.
Venta 1142: stock insuficiente (0 < 1) en 2023-10-08.
Venta 1143: sin registro de stock previo, se elimina.
Venta 1144: sin registro de stock previo, se elimina.
Venta 1145: sin registro de stock previo, se elimina.
Venta 1146: sin registro de stock previo, se elimina.
Venta 1147: stock insuficiente (0 < 1) en 2023-10-09.
Venta 1148: sin registro de stock previo, se elimina.
Venta 1149: sin registro de stock previo, se elimina.
Venta 1150: sin registro de stock previo, se elimina.
Venta 1151: sin registro de stock previo, se elimina.
Venta 1152: sin registro de stock previo, se elimina.
Venta 1153: sin registro de stock previo, se elimina.
Venta 1154: sin registro de stock previo, se elimina.
Venta 1155: stock insuficiente (0 < 1) en 2023-10-10.
Venta 1156: sin registro de stock previo, se elimina.
Venta 1157: sin registro de stock previo, se elimina.
Venta 1158: sin registro de stock previo, se elimina.
Venta 1159: sin registro de stock previo, se elimina.
Venta 1160: sin registro de stock previo, se elimina.
Venta 1161: sin registro de stock previo, se elimina.
Venta 1162: stock insuficiente (0 < 3) en 2023-10-11.
Venta 1163: sin registro de stock previo, se elimina.
Venta 1164: sin registro de stock previo, se elimina.
Venta 1165: sin registro de stock previo, se elimina.
Venta 1166: sin registro de stock previo, se elimina.
Venta 1167: sin registro de stock previo, se elimina.
Venta 1168: stock insuficiente (0 < 1) en 2023-10-12.
Venta 1169: sin registro de stock previo, se elimina.
Venta 1170: stock insuficiente (0 < 1) en 2023-10-13.
Venta 1173: sin registro de stock previo, se elimina.
Venta 1174: sin registro de stock previo, se elimina.
Venta 1175: sin registro de stock previo, se elimina.
Venta 1176: sin registro de stock previo, se elimina.
Venta 1178: sin registro de stock previo, se elimina.
Venta 1179: sin registro de stock previo, se elimina.
Venta 1180: sin registro de stock previo, se elimina.
Venta 1181: sin registro de stock previo, se elimina.
Venta 1182: sin registro de stock previo, se elimina.
Venta 1183: stock insuficiente (1 < 2) en 2023-10-18.
Venta 1184: sin registro de stock previo, se elimina.
Venta 1185: sin registro de stock previo, se elimina.
Venta 1186: sin registro de stock previo, se elimina.
Venta 1187: sin registro de stock previo, se elimina.
Venta 1188: stock insuficiente (1 < 2) en 2023-10-19.
Venta 1189: sin registro de stock previo, se elimina.
Venta 1190: sin registro de stock previo, se elimina.
Venta 1191: sin registro de stock previo, se elimina.
Venta 1192: sin registro de stock previo, se elimina.
Venta 1193: stock insuficiente (1 < 3) en 2023-10-20.
Venta 1194: sin registro de stock previo, se elimina.
Venta 1195: sin registro de stock previo, se elimina.
Venta 1196: sin registro de stock previo, se elimina.
Venta 1197: sin registro de stock previo, se elimina.
Venta 1199: sin registro de stock previo, se elimina.
Venta 1200: sin registro de stock previo, se elimina.
Venta 1201: sin registro de stock previo, se elimina.
Venta 1202: sin registro de stock previo, se elimina.
Venta 1204: sin registro de stock previo, se elimina.
Venta 1205: sin registro de stock previo, se elimina.
Venta 1206: sin registro de stock previo, se elimina.
Venta 1208: sin registro de stock previo, se elimina.
Venta 1209: sin registro de stock previo, se elimina.
Venta 1210: sin registro de stock previo, se elimina.
Venta 1211: stock insuficiente (3 < 4) en 2023-10-24.
Venta 1212: sin registro de stock previo, se elimina.
Venta 1215: sin registro de stock previo, se elimina.
Venta 1216: sin registro de stock previo, se elimina.
Venta 1217: sin registro de stock previo, se elimina.
Venta 1218: sin registro de stock previo, se elimina.
Venta 1219: sin registro de stock previo, se elimina.
Venta 1220: sin registro de stock previo, se elimina.
Venta 1221: sin registro de stock previo, se elimina.
Venta 1222: sin registro de stock previo, se elimina.
Venta 1223: sin registro de stock previo, se elimina.
Venta 1224: sin registro de stock previo, se elimina.
Venta 1225: sin registro de stock previo, se elimina.
Venta 1226: sin registro de stock previo, se elimina.
Venta 1227: sin registro de stock previo, se elimina.
Venta 1228: sin registro de stock previo, se elimina.
Venta 1229: sin registro de stock previo, se elimina.
Venta 1230: sin registro de stock previo, se elimina.
Venta 1231: sin registro de stock previo, se elimina.
Venta 1232: sin registro de stock previo, se elimina.
Venta 1233: stock insuficiente (0 < 3) en 2023-11-03.
Venta 1234: sin registro de stock previo, se elimina.
Venta 1235: sin registro de stock previo, se elimina.
Venta 1236: sin registro de stock previo, se elimina.
Venta 1237: sin registro de stock previo, se elimina.
Venta 1238: sin registro de stock previo, se elimina.
Venta 1239: sin registro de stock previo, se elimina.
Venta 1240: sin registro de stock previo, se elimina.
Venta 1241: sin registro de stock previo, se elimina.
Venta 1242: stock insuficiente (0 < 3) en 2023-11-04.
Venta 1243: sin registro de stock previo, se elimina.
Venta 1244: sin registro de stock previo, se elimina.
Venta 1245: sin registro de stock previo, se elimina.
Venta 1246: sin registro de stock previo, se elimina.
Venta 1247: sin registro de stock previo, se elimina.
Venta 1248: stock insuficiente (0 < 3) en 2023-11-05.
Venta 1249: sin registro de stock previo, se elimina.
Venta 1250: sin registro de stock previo, se elimina.
Venta 1251: sin registro de stock previo, se elimina.
Venta 1252: sin registro de stock previo, se elimina.
Venta 1253: stock insuficiente (0 < 2) en 2023-11-06.
Venta 1254: sin registro de stock previo, se elimina.
Venta 1255: sin registro de stock previo, se elimina.
Venta 1256: sin registro de stock previo, se elimina.
Venta 1257: sin registro de stock previo, se elimina.
Venta 1258: stock insuficiente (0 < 3) en 2023-11-07.
Venta 1259: sin registro de stock previo, se elimina.
Venta 1260: sin registro de stock previo, se elimina.
Venta 1261: sin registro de stock previo, se elimina.
Venta 1262: stock insuficiente (0 < 1) en 2023-11-08.
Venta 1263: sin registro de stock previo, se elimina.
Venta 1264: sin registro de stock previo, se elimina.
Venta 1265: sin registro de stock previo, se elimina.
Venta 1266: sin registro de stock previo, se elimina.
Venta 1267: sin registro de stock previo, se elimina.
Venta 1268: sin registro de stock previo, se elimina.
Venta 1269: stock insuficiente (0 < 3) en 2023-11-09.
Venta 1270: sin registro de stock previo, se elimina.
Venta 1271: sin registro de stock previo, se elimina.
Venta 1272: sin registro de stock previo, se elimina.
Venta 1273: sin registro de stock previo, se elimina.
Venta 1274: sin registro de stock previo, se elimina.
Venta 1275: sin registro de stock previo, se elimina.
Venta 1276: stock insuficiente (0 < 1) en 2023-11-10.
Venta 1277: sin registro de stock previo, se elimina.
Venta 1278: sin registro de stock previo, se elimina.
Venta 1279: sin registro de stock previo, se elimina.
Venta 1280: sin registro de stock previo, se elimina.
Venta 1281: stock insuficiente (0 < 1) en 2023-11-11.
Venta 1282: sin registro de stock previo, se elimina.
Venta 1283: sin registro de stock previo, se elimina.
Venta 1284: sin registro de stock previo, se elimina.
Venta 1285: sin registro de stock previo, se elimina.
Venta 1286: sin registro de stock previo, se elimina.
Venta 1287: sin registro de stock previo, se elimina.
Venta 1288: sin registro de stock previo, se elimina.
Venta 1289: sin registro de stock previo, se elimina.
Venta 1290: sin registro de stock previo, se elimina.
Venta 1291: sin registro de stock previo, se elimina.
Venta 1292: sin registro de stock previo, se elimina.
Venta 1293: sin registro de stock previo, se elimina.
Venta 1294: sin registro de stock previo, se elimina.
Venta 1295: stock insuficiente (0 < 1) en 2023-11-17.
Venta 1296: sin registro de stock previo, se elimina.
Venta 1297: sin registro de stock previo, se elimina.
Venta 1298: sin registro de stock previo, se elimina.
Venta 1299: sin registro de stock previo, se elimina.
Venta 1300: sin registro de stock previo, se elimina.
Venta 1301: stock insuficiente (0 < 1) en 2023-11-18.
Venta 1302: sin registro de stock previo, se elimina.
Venta 1303: sin registro de stock previo, se elimina.
Venta 1304: sin registro de stock previo, se elimina.
Venta 1305: sin registro de stock previo, se elimina.
Venta 1306: stock insuficiente (0 < 6) en 2023-11-19.
Venta 1307: sin registro de stock previo, se elimina.
Venta 1308: sin registro de stock previo, se elimina.
Venta 1309: sin registro de stock previo, se elimina.
Venta 1310: sin registro de stock previo, se elimina.
Venta 1311: stock insuficiente (0 < 1) en 2023-11-20.
Venta 1312: sin registro de stock previo, se elimina.
Venta 1313: sin registro de stock previo, se elimina.
Venta 1314: sin registro de stock previo, se elimina.
Venta 1315: sin registro de stock previo, se elimina.
Venta 1316: stock insuficiente (0 < 4) en 2023-11-21.
Venta 1317: sin registro de stock previo, se elimina.
Venta 1318: sin registro de stock previo, se elimina.
Venta 1319: sin registro de stock previo, se elimina.
Venta 1320: stock insuficiente (0 < 3) en 2023-11-22.
Venta 1321: sin registro de stock previo, se elimina.
Venta 1322: sin registro de stock previo, se elimina.
Venta 1323: sin registro de stock previo, se elimina.
Venta 1324: stock insuficiente (0 < 4) en 2023-11-23.
Venta 1325: sin registro de stock previo, se elimina.
Venta 1326: sin registro de stock previo, se elimina.
Venta 1327: sin registro de stock previo, se elimina.
Venta 1328: sin registro de stock previo, se elimina.
Venta 1329: sin registro de stock previo, se elimina.
Venta 1330: sin registro de stock previo, se elimina.
Venta 1331: sin registro de stock previo, se elimina.
Venta 1332: sin registro de stock previo, se elimina.
Venta 1333: sin registro de stock previo, se elimina.
Venta 1334: sin registro de stock previo, se elimina.
Venta 1335: sin registro de stock previo, se elimina.
Venta 1336: sin registro de stock previo, se elimina.
Venta 1337: sin registro de stock previo, se elimina.
Venta 1338: sin registro de stock previo, se elimina.
Venta 1339: sin registro de stock previo, se elimina.
Venta 1340: sin registro de stock previo, se elimina.
Venta 1341: stock insuficiente (0 < 2) en 2023-12-03.
Venta 1342: sin registro de stock previo, se elimina.
Venta 1343: sin registro de stock previo, se elimina.
Venta 1344: sin registro de stock previo, se elimina.
Venta 1345: sin registro de stock previo, se elimina.
Venta 1346: sin registro de stock previo, se elimina.
Venta 1347: stock insuficiente (0 < 3) en 2023-12-04.
Venta 1348: sin registro de stock previo, se elimina.
Venta 1349: sin registro de stock previo, se elimina.
Venta 1350: sin registro de stock previo, se elimina.
Venta 1351: sin registro de stock previo, se elimina.
Venta 1352: stock insuficiente (0 < 4) en 2023-12-05.
Venta 1353: sin registro de stock previo, se elimina.
Venta 1354: sin registro de stock previo, se elimina.
Venta 1355: sin registro de stock previo, se elimina.
Venta 1356: sin registro de stock previo, se elimina.
Venta 1357: stock insuficiente (0 < 3) en 2023-12-06.
Venta 1358: sin registro de stock previo, se elimina.
Venta 1359: sin registro de stock previo, se elimina.
Venta 1360: sin registro de stock previo, se elimina.
Venta 1361: sin registro de stock previo, se elimina.
Venta 1362: stock insuficiente (0 < 2) en 2023-12-07.
Venta 1363: sin registro de stock previo, se elimina.
Venta 1364: sin registro de stock previo, se elimina.
Venta 1365: sin registro de stock previo, se elimina.
Venta 1366: sin registro de stock previo, se elimina.
Venta 1367: stock insuficiente (0 < 2) en 2023-12-08.
Venta 1368: sin registro de stock previo, se elimina.
Venta 1369: sin registro de stock previo, se elimina.
Venta 1370: sin registro de stock previo, se elimina.
Venta 1371: sin registro de stock previo, se elimina.
Venta 1372: stock insuficiente (0 < 3) en 2023-12-09.
Venta 1373: sin registro de stock previo, se elimina.
Venta 1374: sin registro de stock previo, se elimina.
Venta 1375: sin registro de stock previo, se elimina.
Venta 1376: sin registro de stock previo, se elimina.
Venta 1377: sin registro de stock previo, se elimina.
Venta 1378: sin registro de stock previo, se elimina.
Venta 1379: sin registro de stock previo, se elimina.
Venta 1380: stock insuficiente (0 < 1) en 2023-12-10.
Venta 1381: sin registro de stock previo, se elimina.
Venta 1382: sin registro de stock previo, se elimina.
Venta 1383: sin registro de stock previo, se elimina.
Venta 1384: sin registro de stock previo, se elimina.
Venta 1385: sin registro de stock previo, se elimina.
Venta 1386: sin registro de stock previo, se elimina.
Venta 1387: sin registro de stock previo, se elimina.
Venta 1388: sin registro de stock previo, se elimina.
Venta 1389: sin registro de stock previo, se elimina.
Venta 1390: sin registro de stock previo, se elimina.
Venta 1391: sin registro de stock previo, se elimina.
Venta 1392: sin registro de stock previo, se elimina.
Venta 1393: sin registro de stock previo, se elimina.
Venta 1394: sin registro de stock previo, se elimina.
Venta 1395: sin registro de stock previo, se elimina.
Venta 1396: sin registro de stock previo, se elimina.
Venta 1397: sin registro de stock previo, se elimina.
Venta 1398: sin registro de stock previo, se elimina.
Venta 1399: stock insuficiente (0 < 4) en 2023-12-17.
Venta 1400: sin registro de stock previo, se elimina.
Venta 1401: sin registro de stock previo, se elimina.
Venta 1402: sin registro de stock previo, se elimina.
Venta 1403: sin registro de stock previo, se elimina.
Venta 1404: sin registro de stock previo, se elimina.
Venta 1405: stock insuficiente (0 < 1) en 2023-12-18.
Venta 1406: sin registro de stock previo, se elimina.
Venta 1407: sin registro de stock previo, se elimina.
Venta 1408: sin registro de stock previo, se elimina.
Venta 1409: sin registro de stock previo, se elimina.
Venta 1410: stock insuficiente (0 < 5) en 2023-12-19.
Venta 1411: sin registro de stock previo, se elimina.
Venta 1412: sin registro de stock previo, se elimina.
Venta 1413: sin registro de stock previo, se elimina.
Venta 1414: sin registro de stock previo, se elimina.
Venta 1415: stock insuficiente (0 < 5) en 2023-12-20.
Venta 1416: sin registro de stock previo, se elimina.
Venta 1417: sin registro de stock previo, se elimina.
Venta 1418: sin registro de stock previo, se elimina.
Venta 1419: sin registro de stock previo, se elimina.
Venta 1420: stock insuficiente (0 < 1) en 2023-12-21.
Venta 1421: sin registro de stock previo, se elimina.
Venta 1422: sin registro de stock previo, se elimina.
Venta 1423: sin registro de stock previo, se elimina.
Venta 1424: sin registro de stock previo, se elimina.
Venta 1425: stock insuficiente (0 < 2) en 2023-12-22.
Venta 1426: sin registro de stock previo, se elimina.
Venta 1427: sin registro de stock previo, se elimina.
Venta 1428: sin registro de stock previo, se elimina.
Venta 1429: sin registro de stock previo, se elimina.
Venta 1430: stock insuficiente (0 < 2) en 2023-12-23.
Venta 1431: sin registro de stock previo, se elimina.
Venta 1432: sin registro de stock previo, se elimina.
Venta 1433: sin registro de stock previo, se elimina.
Venta 1434: sin registro de stock previo, se elimina.
Venta 1435: sin registro de stock previo, se elimina.
Venta 1436: sin registro de stock previo, se elimina.
Venta 1437: sin registro de stock previo, se elimina.
Venta 1438: sin registro de stock previo, se elimina.
Venta 1439: sin registro de stock previo, se elimina.
Venta 1440: sin registro de stock previo, se elimina.
Venta 1441: sin registro de stock previo, se elimina.
Venta 1442: sin registro de stock previo, se elimina.
Venta 1443: sin registro de stock previo, se elimina.
Venta 1444: sin registro de stock previo, se elimina.
Venta 1445: sin registro de stock previo, se elimina.
Venta 1446: sin registro de stock previo, se elimina.
Venta 1447: stock insuficiente (0 < 2) en 2024-01-03.
Venta 1448: sin registro de stock previo, se elimina.
Venta 1449: sin registro de stock previo, se elimina.
Venta 1450: sin registro de stock previo, se elimina.
Venta 1451: sin registro de stock previo, se elimina.
Venta 1452: sin registro de stock previo, se elimina.
Venta 1453: sin registro de stock previo, se elimina.
Venta 1454: stock insuficiente (0 < 3) en 2024-01-04.
Venta 1455: sin registro de stock previo, se elimina.
Venta 1456: sin registro de stock previo, se elimina.
Venta 1457: sin registro de stock previo, se elimina.
Venta 1458: sin registro de stock previo, se elimina.
Venta 1459: sin registro de stock previo, se elimina.
Venta 1460: stock insuficiente (0 < 1) en 2024-01-05.
Venta 1461: sin registro de stock previo, se elimina.
Venta 1462: sin registro de stock previo, se elimina.
Venta 1463: sin registro de stock previo, se elimina.
Venta 1464: sin registro de stock previo, se elimina.
Venta 1465: sin registro de stock previo, se elimina.
Venta 1466: stock insuficiente (0 < 3) en 2024-01-06.
Venta 1467: sin registro de stock previo, se elimina.
Venta 1468: sin registro de stock previo, se elimina.
Venta 1469: sin registro de stock previo, se elimina.
Venta 1470: sin registro de stock previo, se elimina.
Venta 1471: stock insuficiente (0 < 2) en 2024-01-07.
Venta 1472: sin registro de stock previo, se elimina.
Venta 1473: sin registro de stock previo, se elimina.
Venta 1474: sin registro de stock previo, se elimina.
Venta 1475: sin registro de stock previo, se elimina.
Venta 1476: stock insuficiente (0 < 1) en 2024-01-08.
Venta 1477: sin registro de stock previo, se elimina.
Venta 1478: sin registro de stock previo, se elimina.
Venta 1479: sin registro de stock previo, se elimina.
Venta 1480: sin registro de stock previo, se elimina.
Venta 1481: sin registro de stock previo, se elimina.
Venta 1482: sin registro de stock previo, se elimina.
Venta 1483: sin registro de stock previo, se elimina.
Venta 1484: stock insuficiente (0 < 3) en 2024-01-09.
Venta 1485: sin registro de stock previo, se elimina.
Venta 1486: sin registro de stock previo, se elimina.
Venta 1487: sin registro de stock previo, se elimina.
Venta 1488: sin registro de stock previo, se elimina.
Venta 1489: sin registro de stock previo, se elimina.
Venta 1490: stock insuficiente (0 < 1) en 2024-01-10.
Venta 1491: sin registro de stock previo, se elimina.
Venta 1492: sin registro de stock previo, se elimina.
Venta 1493: sin registro de stock previo, se elimina.
Venta 1494: sin registro de stock previo, se elimina.
Venta 1495: sin registro de stock previo, se elimina.
Venta 1496: stock insuficiente (0 < 3) en 2024-01-11.
Venta 1497: sin registro de stock previo, se elimina.
Venta 1498: sin registro de stock previo, se elimina.
Venta 1499: sin registro de stock previo, se elimina.
Venta 1500: sin registro de stock previo, se elimina.
Venta 1501: stock insuficiente (0 < 1) en 2024-01-12.
Venta 1502: sin registro de stock previo, se elimina.
Venta 1503: sin registro de stock previo, se elimina.
Venta 1504: sin registro de stock previo, se elimina.
Venta 1505: sin registro de stock previo, se elimina.
Venta 1506: sin registro de stock previo, se elimina.
Venta 1507: sin registro de stock previo, se elimina.
Venta 1508: stock insuficiente (0 < 1) en 2024-01-17.
Venta 1509: sin registro de stock previo, se elimina.
Venta 1510: sin registro de stock previo, se elimina.
Venta 1511: sin registro de stock previo, se elimina.
Venta 1512: sin registro de stock previo, se elimina.
Venta 1513: stock insuficiente (0 < 4) en 2024-01-18.
Venta 1514: sin registro de stock previo, se elimina.
Venta 1515: sin registro de stock previo, se elimina.
Venta 1516: sin registro de stock previo, se elimina.
Venta 1517: sin registro de stock previo, se elimina.
Venta 1518: stock insuficiente (0 < 6) en 2024-01-19.
Venta 1519: sin registro de stock previo, se elimina.
Venta 1520: sin registro de stock previo, se elimina.
Venta 1521: sin registro de stock previo, se elimina.
Venta 1522: sin registro de stock previo, se elimina.
Venta 1523: stock insuficiente (0 < 1) en 2024-01-20.
Venta 1524: sin registro de stock previo, se elimina.
Venta 1525: sin registro de stock previo, se elimina.
Venta 1526: sin registro de stock previo, se elimina.
Venta 1527: stock insuficiente (0 < 2) en 2024-01-21.
Venta 1528: sin registro de stock previo, se elimina.
Venta 1529: sin registro de stock previo, se elimina.
Venta 1530: sin registro de stock previo, se elimina.
Venta 1531: stock insuficiente (0 < 4) en 2024-01-22.
Venta 1532: sin registro de stock previo, se elimina.
Venta 1533: sin registro de stock previo, se elimina.
Venta 1534: sin registro de stock previo, se elimina.
Venta 1535: stock insuficiente (0 < 2) en 2024-01-23.
Venta 1536: sin registro de stock previo, se elimina.
Venta 1537: sin registro de stock previo, se elimina.
Venta 1538: sin registro de stock previo, se elimina.
Venta 1539: sin registro de stock previo, se elimina.
Venta 1540: sin registro de stock previo, se elimina.
Venta 1541: sin registro de stock previo, se elimina.
Venta 1542: sin registro de stock previo, se elimina.
Venta 1543: sin registro de stock previo, se elimina.
Venta 1544: sin registro de stock previo, se elimina.
Venta 1545: sin registro de stock previo, se elimina.
Venta 1546: sin registro de stock previo, se elimina.
Venta 1547: sin registro de stock previo, se elimina.
Venta 1548: sin registro de stock previo, se elimina.
Venta 1549: sin registro de stock previo, se elimina.
Venta 1550: sin registro de stock previo, se elimina.
Venta 1551: sin registro de stock previo, se elimina.
Venta 1552: sin registro de stock previo, se elimina.
Venta 1553: sin registro de stock previo, se elimina.
Venta 1554: sin registro de stock previo, se elimina.
Venta 1555: sin registro de stock previo, se elimina.
Venta 1556: sin registro de stock previo, se elimina.
Venta 1557: sin registro de stock previo, se elimina.
Venta 1558: stock insuficiente (0 < 1) en 2024-02-03.
Venta 1559: sin registro de stock previo, se elimina.
Venta 1560: sin registro de stock previo, se elimina.
Venta 1561: sin registro de stock previo, se elimina.
Venta 1562: sin registro de stock previo, se elimina.
Venta 1563: sin registro de stock previo, se elimina.
Venta 1564: sin registro de stock previo, se elimina.
Venta 1565: stock insuficiente (0 < 1) en 2024-02-04.
Venta 1566: sin registro de stock previo, se elimina.
Venta 1567: sin registro de stock previo, se elimina.
Venta 1568: sin registro de stock previo, se elimina.
Venta 1569: sin registro de stock previo, se elimina.
Venta 1570: sin registro de stock previo, se elimina.
Venta 1571: sin registro de stock previo, se elimina.
Venta 1572: stock insuficiente (0 < 2) en 2024-02-05.
Venta 1573: sin registro de stock previo, se elimina.
Venta 1574: sin registro de stock previo, se elimina.
Venta 1575: sin registro de stock previo, se elimina.
Venta 1576: sin registro de stock previo, se elimina.
Venta 1577: stock insuficiente (0 < 2) en 2024-02-06.
Venta 1578: sin registro de stock previo, se elimina.
Venta 1579: sin registro de stock previo, se elimina.
Venta 1580: sin registro de stock previo, se elimina.
Venta 1581: sin registro de stock previo, se elimina.
Venta 1582: stock insuficiente (0 < 2) en 2024-02-07.
Venta 1583: sin registro de stock previo, se elimina.
Venta 1584: sin registro de stock previo, se elimina.
Venta 1585: sin registro de stock previo, se elimina.
Venta 1586: sin registro de stock previo, se elimina.
Venta 1587: stock insuficiente (0 < 3) en 2024-02-08.
Venta 1588: sin registro de stock previo, se elimina.
Venta 1589: sin registro de stock previo, se elimina.
Venta 1590: sin registro de stock previo, se elimina.
Venta 1591: sin registro de stock previo, se elimina.
Venta 1592: sin registro de stock previo, se elimina.
Venta 1593: sin registro de stock previo, se elimina.
Venta 1594: sin registro de stock previo, se elimina.
Venta 1595: stock insuficiente (0 < 3) en 2024-02-09.
Venta 1596: sin registro de stock previo, se elimina.
Venta 1597: sin registro de stock previo, se elimina.
Venta 1598: sin registro de stock previo, se elimina.
Venta 1599: sin registro de stock previo, se elimina.
Venta 1600: sin registro de stock previo, se elimina.
Venta 1601: sin registro de stock previo, se elimina.
Venta 1602: sin registro de stock previo, se elimina.
Venta 1603: stock insuficiente (0 < 1) en 2024-02-10.
Venta 1604: sin registro de stock previo, se elimina.
Venta 1605: sin registro de stock previo, se elimina.
Venta 1606: sin registro de stock previo, se elimina.
Venta 1607: sin registro de stock previo, se elimina.
Venta 1608: stock insuficiente (0 < 1) en 2024-02-11.
Venta 1609: sin registro de stock previo, se elimina.
Venta 1610: sin registro de stock previo, se elimina.
Venta 1611: sin registro de stock previo, se elimina.
Venta 1612: stock insuficiente (0 < 1) en 2024-02-12.
Venta 1613: sin registro de stock previo, se elimina.
Venta 1614: sin registro de stock previo, se elimina.
Venta 1615: sin registro de stock previo, se elimina.
Venta 1616: stock insuficiente (0 < 3) en 2024-02-13.
Venta 1617: sin registro de stock previo, se elimina.
Venta 1618: sin registro de stock previo, se elimina.
Venta 1619: sin registro de stock previo, se elimina.
Venta 1620: sin registro de stock previo, se elimina.
Venta 1621: sin registro de stock previo, se elimina.
Venta 1622: sin registro de stock previo, se elimina.
Venta 1623: sin registro de stock previo, se elimina.
Venta 1624: stock insuficiente (0 < 4) en 2024-02-17.
Venta 1625: sin registro de stock previo, se elimina.
Venta 1626: sin registro de stock previo, se elimina.
Venta 1627: sin registro de stock previo, se elimina.
Venta 1628: sin registro de stock previo, se elimina.
Venta 1629: sin registro de stock previo, se elimina.
Venta 1630: stock insuficiente (0 < 1) en 2024-02-18.
Venta 1631: sin registro de stock previo, se elimina.
Venta 1632: sin registro de stock previo, se elimina.
Venta 1633: sin registro de stock previo, se elimina.
Venta 1634: sin registro de stock previo, se elimina.
Venta 1635: stock insuficiente (0 < 5) en 2024-02-19.
Venta 1636: sin registro de stock previo, se elimina.
Venta 1637: sin registro de stock previo, se elimina.
Venta 1638: sin registro de stock previo, se elimina.
Venta 1639: sin registro de stock previo, se elimina.
Venta 1640: stock insuficiente (0 < 2) en 2024-02-20.
Venta 1641: sin registro de stock previo, se elimina.
Venta 1642: sin registro de stock previo, se elimina.
Venta 1643: sin registro de stock previo, se elimina.
Venta 1644: sin registro de stock previo, se elimina.
Venta 1645: stock insuficiente (0 < 2) en 2024-02-21.
Venta 1646: sin registro de stock previo, se elimina.
Venta 1647: sin registro de stock previo, se elimina.
Venta 1648: sin registro de stock previo, se elimina.
Venta 1649: stock insuficiente (0 < 1) en 2024-02-22.
Venta 1650: sin registro de stock previo, se elimina.
Venta 1651: sin registro de stock previo, se elimina.
Venta 1652: sin registro de stock previo, se elimina.
Venta 1653: stock insuficiente (0 < 5) en 2024-02-23.
Venta 1654: sin registro de stock previo, se elimina.
Venta 1655: sin registro de stock previo, se elimina.
Venta 1656: sin registro de stock previo, se elimina.
Venta 1657: sin registro de stock previo, se elimina.
Venta 1658: sin registro de stock previo, se elimina.
Venta 1659: sin registro de stock previo, se elimina.
Venta 1660: sin registro de stock previo, se elimina.
Venta 1661: sin registro de stock previo, se elimina.
Venta 1662: sin registro de stock previo, se elimina.
Venta 1663: sin registro de stock previo, se elimina.
Venta 1664: sin registro de stock previo, se elimina.
Venta 1665: sin registro de stock previo, se elimina.
Venta 1666: sin registro de stock previo, se elimina.
Venta 1667: sin registro de stock previo, se elimina.
Venta 1668: sin registro de stock previo, se elimina.
Venta 1669: sin registro de stock previo, se elimina.
Venta 1670: sin registro de stock previo, se elimina.
Venta 1671: sin registro de stock previo, se elimina.
Venta 1672: sin registro de stock previo, se elimina.
